iter	Passed	Remaining
376	1422	2351
377	1433	2358
378	1439	2359
379	1441	2351
380	1445	2347
381	1447	2340
382	1449	2334
383	1450	2326
384	1454	2322
385	1455	2315
386	1456	2307
387	1458	2300
388	1460	2293
389	1461	2286
390	1463	2279
391	1464	2272
392	1483	2291
393	1484	2283
394	1486	2276
395	1488	2269
396	1499	2277
397	1501	2271
398	1507	2270
399	1522	2283
400	1524	2276
401	1536	2284
402	1537	2278
403	1554	2292
404	1555	2285
405	1556	2277
406	1558	2270
407	1562	2266
408	1563	2259
409	1565	2252
410	1575	2257
411	1577	2251
412	1579	2244
413	1580	2236
414	1581	2229
415	1583	2222
416	1584	2215
417	1585	2208
418	1593	2208
419	1596	2204
420	1598	2197
421	1599	2190
422	1605	2189
423	1609	2186
424	1611	2179
425	1612	2172
426	1614	2166
427	1616	2160
428	1618	2154
429	1623	2151
